CodigoArea,NomeCurso
01,"Ciência da educação"
01,"Processos escolares"
01,"Psicopedagogia"
01,"Educação infantil formação de professor"
01,"Educação do campo formação de professor"
01,"Educação especial formação de professor"
01,"Educação indígena formação de professor"
01,"Formação pedagógica de professor para a educação básica"
01,"Pedagogia"
01,"Artes formação de professor"
01,"Artes visuais formação de professor"
01,"Biologia formação de professor"
01,"Ciências agrárias formação de professor"
01,"Ciências naturais formação de professor"
01,"Ciências sociais formação de professor"
01,"Cinema e audiovisual formação de professor"
01,"Computação formação de professor"
01,"Dança formação de professor"
01,"Economia doméstica formação de professor"
01,"Educação do campo em áreas de conhecimento da educação básica formação de professor"
01,"Educação física formação de professor"
01,"Educação indígena em áreas de conhecimento da educação básica formação de professor"
01,"Enfermagem formação de professor"
01,"Ensino profissionalizante em área específica formação de professor"
01,"Ensino religioso formação de professor"
01,"Estatística formação de professor"
01,"Filosofia formação de professor"
01,"Física formação de professor"
01,"Geografia formação de professor"
01,"História formação de professor"
01,"Matemática formação de professor"
01,"Música formação de professor"
01,"Psicologia formação de professor"
01,"Química formação de professor"
01,"Teatro formação de professor"
01,"Letras alemão formação de professor"
01,"Letras espanhol formação de professor"
01,"Letras francês formação de professor"
01,"Letras inglês formação de professor"
01,"Letras italiano formação de professor"
01,"Letras japonês formação de professor"
01,"Letras língua brasileira de sinais formação de professor"
01,"Letras línguas estrangeiras clássicas formação de professor"
01,"Letras linguística formação de professor"
01,"Letras outras línguas estrangeiras modernas formação de professor"
01,"Letras português alemão formação de professor"
01,"Letras português espanhol formação de professor"
01,"Letras português formação de professor"
01,"Letras português francês formação de professor"
01,"Letras português inglês formação de professor"
01,"Letras português italiano formação de professor"
01,"Letras português japonês formação de professor"
01,"Letras português língua brasileira de sinais formação de professor"
01,"Letras português línguas estrangeiras clássicas formação de professor"
01,"Letras português outras línguas estrangeiras modernas formação de professor"
01,"Letras tradutor e intérprete formação de professor"
01,"Programas interdisciplinares abrangendo educação"
02,"Animação"
02,"Cinema e audiovisual"
02,"Comunicação assistiva"
02,"Design gráfico"
02,"Fotografia"
02,"Produção audiovisual"
02,"Produção cênica"
02,"Produção cultural"
02,"Produção fonográfica"
02,"Produção multimídia"
02,"Desenho industrial"
02,"Design"
02,"Design de interiores"
02,"Design de produto"
02,"Moda"
02,"Artes"
02,"Artes plásticas"
02,"Artes visuais"
02,"História da arte"
02,"Fabricação de instrumentos musicais não industrial"
02,"Artes cênicas"
02,"Dança"
02,"Música"
02,"Teatro"
02,"Ciências da religião"
02,"Teologia"
02,"Arqueologia"
02,"Conservação e restauro"
02,"História"
02,"Filosofia"
02,"Letras alemão"
02,"Letras escrita criativa"
02,"Letras espanhol"
02,"Letras francês"
02,"Letras inglês"
02,"Letras italiano"
02,"Letras japonês"
02,"Letras língua brasileira de sinais"
02,"Letras línguas estrangeiras clássicas"
02,"Letras linguística"
02,"Letras outras línguas estrangeiras modernas"
02,"Letras português"
02,"Letras português alemão"
02,"Letras português espanhol"
02,"Letras português francês"
02,"Letras português inglês"
02,"Letras português italiano"
02,"Letras português japonês"
02,"Letras português língua brasileira de sinais"
02,"Letras português línguas estrangeiras clássicas"
02,"Letras português outras línguas estrangeiras modernas"
02,"Letras tradutor e intérprete"
02,"Programas interdisciplinares abrangendo artes e humanidades"
03,"Economia"
03,"Antropologia"
03,"Ciência política"
03,"Ciências sociais"
03,"Geografia"
03,"Relações internacionais"
03,"Sociologia"
03,"Psicologia"
03,"Comunicação social"
03,"Jornalismo"
03,"Produção editorial"
03,""Rádio, TV e internet""
03,"Arquivologia"
03,"Biblioteconomia"
03,"Gestão da informação"
03,"Museologia"
03,""Programas interdisciplinares abrangendo ciências sociais, comunicação e informação""
04,"Contabilidade"
04,"Gestão financeira"
04,"Seguros"
04,"Administração"
04,"Administração pública"
04,"Comércio exterior"
04,"Empreendedorismo"
04,"Gestão da produção"
04,"Gestão da qualidade"
04,"Gestão da saúde"
04,"Gestão de cooperativas"
04,"Gestão de negócios"
04,"Gestão de negócios internacionais"
04,"Gestão de pessoas"
04,"Gestão de serviços"
04,"Gestão do agronegócio"
04,"Gestão estratégica"
04,"Gestão hospitalar"
04,"Gestão pública"
04,"Logística"
04,"Marketing"
04,"Publicidade e propaganda"
04,"Relações públicas"
04,"Secretariado"
04,"Gestão comercial"
04,"Negócios imobiliários"
04,"Direito"
04,"Serviços jurídicos e cartoriais"
04,""Programas interdisciplinares abrangendo negócios, administração e direito""
05,"Biologia"
05,"Bioquímica"
05,"Biotecnologia"
05,"Toxicologia"
05,"Ciências ambientais"
05,"Ecologia"
05,"Química"
05,"Química industrial e tecnológica"
05,"Geofísica"
05,"Geologia"
05,"Geoprocessamento"
05,"Meteorologia"
05,"Oceanografia"
05,"Astronomia"
05,"Física"
05,"Física aplicada"
05,"Física médica"
05,"Matemática"
05,"Matemática aplicada e computacional"
05,"Ciências atuariais"
